Price,Close,High,Low,Open,Volume
Ticker,ISAC.L,ISAC.L,ISAC.L,ISAC.L,ISAC.L
Date,,,,,
2026-01-02,109.22000122070312,109.98999786376953,108.94999694824219,109.31999969482422,136111
2026-01-05,110.33999633789062,110.34249877929688,109.4365005493164,109.62999725341797,267424
2026-01-06,110.5199966430664,110.77999877929688,110.20999908447266,110.5199966430664,470043
2026-01-07,110.76000213623047,110.96289825439453,110.5199966430664,110.70999908447266,238357
2026-01-08,110.22000122070312,110.44000244140625,110.06999969482422,110.16000366210938,140699
2026-01-09,110.91000366210938,111.19860076904297,110.26000213623047,110.3499984741211,111446
2026-01-12,111.41000366210938,111.57160186767578,110.56999969482422,110.80000305175781,151450
2026-01-13,111.30999755859375,111.75,110.9800033569336,111.38999938964844,157322
2026-01-14,110.79000091552734,111.63999938964844,110.5,111.27999877929688,329279
2026-01-15,111.66000366210938,111.80999755859375,111.18000030517578,111.22000122070312,252367
2026-01-16,111.33000183105469,111.6500015258789,110.91999816894531,111.58000183105469,215484
2026-01-19,110.36000061035156,110.61000061035156,110.0999984741211,110.3499984741211,157183
2026-01-20,110.16000366210938,110.26000213623047,109.37000274658203,110.0,248036
2026-01-21,110.20999908447266,110.44000244140625,109.16000366210938,109.66000366210938,175600
2026-01-22,111.26000213623047,111.41339874267578,110.66889953613281,110.73999786376953,186505
2026-01-23,111.20999908447266,111.6500015258789,110.77300262451172,111.19000244140625,177382
2026-01-26,111.94000244140625,112.31999969482422,111.12999725341797,111.37000274658203,390194
2026-01-27,112.83999633789062,112.87593841552734,112.08999633789062,112.30000305175781,113666
2026-01-28,112.5199966430664,113.4800033569336,112.42250061035156,113.31999969482422,355597
2026-01-29,111.69000244140625,113.2699966430664,111.2300033569336,113.12999725341797,152332
2026-01-30,111.75,112.77999877929688,111.37000274658203,111.61000061035156,906653
2026-02-02,112.1500015258789,112.19000244140625,110.47000122070312,110.51000213623047,260466
2026-02-03,111.94000244140625,112.91999816894531,111.6969985961914,112.79000091552734,158875
2026-02-04,111.44000244140625,112.27999877929688,110.80609893798828,112.11000061035156,301769
2026-02-05,110.37999725341797,111.55999755859375,109.68000030517578,111.29000091552734,206775
2026-02-06,111.76000213623047,111.76000213623047,109.77880096435547,109.94999694824219,424538
2026-02-09,113.06999969482422,113.13999938964844,111.87000274658203,112.45999908447266,214418
2026-02-10,113.31999969482422,120.0199966430664,113.04000091552734,113.2300033569336,301273
2026-02-11,113.23999786376953,124.63999938964844,112.7699966430664,113.47000122070312,148089
2026-02-12,112.19999694824219,113.88999938964844,112.0199966430664,113.7699966430664,325287
2026-02-13,112.08999633789062,118.2699966430664,111.12999725341797,111.7300033569336,250072
2026-02-16,111.79000091552734,120.4000015258789,111.69999694824219,112.16999816894531,809681
2026-02-17,111.79000091552734,111.97000122070312,110.83999633789062,111.5,256423
2026-02-18,112.94999694824219,112.98999786376953,112.12000274658203,112.20999908447266,200011
2026-02-19,112.29000091552734,112.86000061035156,111.83999633789062,112.7699966430664,242935
2026-02-20,112.87999725341797,113.18419647216797,111.94000244140625,112.43000030517578,295054
2026-02-23,112.31999969482422,113.36000061035156,112.0,112.77999877929688,447251
2026-02-24,112.81999969482422,113.0,112.0,112.38999938964844,218541
2026-02-25,113.44999694824219,113.44999694824219,113.12999725341797,113.1500015258789,35323
